LAT,LON,SID,day,NAME,hour,year,BASIN,IFLAG,month,BOM_CI,NATURE,NEW_CI,NUMBER,REU_CI,SEASON,TD6_LAT,TD6_LON,BOM_TNUM,ISO_TIME,LANDFALL,REU_TNUM,STORM_DR,SUBBASIN,USA_SSHS,DIST2LAND,STORM_SPD,TD6_STAGE,TRACK_TYPE,USA_LAT,USA_LON,USA_WIND,USA_AGENCY,USA_ATCFID,CMA_CAT,CMA_LAT,CMA_LON,CMA_PRES,CMA_WIND,TOK_LAT,TOK_LON,TOK_PRES,WMO_PRES,TOK_GRADE,WMO_AGENCY,USA_STATUS,WMO_WIND,HKO_CAT,HKO_LAT,HKO_LON,HKO_PRES,HKO_WIND,USA_PRES,TOK_WIND,TOK_R30_L,TOK_R30_S,USA_RMW,USA_POCI,USA_ROCI,DS8_LAT,DS8_LON,TD5_LAT,TD5_LON,DS8_WIND,TD5_PRES,TD5_ROCI,TD5_WIND,TD6_WIND,DS8_STAGE,USA_R34_NE,USA_R34_NW,USA_R34_SE,USA_R34_SW,KMA_CAT,KMA_LAT,KMA_LON,KMA_PRES,KMA_WIND,KMA_R30_L,KMA_R30_S,KMA_R30_DR,TOK_R50_L,TOK_R50_S,USA_EYE,USA_R50_NE,USA_R50_NW,USA_R50_SE,USA_R50_SW,USA_R64_NE,USA_R64_NW,USA_R64_SE,USA_R64_SW,USA_GUST,NEW_DP,NEW_LAT,NEW_LON,NEW_WIND,NEW_GRADE,NEW_PRES,KMA_R50_L,KMA_R50_S,KMA_R50_DR,DS8_PRES,TOK_R30_DR,TOK_R50_DR,NEW_POCI,USA_SEAHGT,USA_SEA_NE,USA_SEA_NW,USA_SEA_SE,USA_SEA_SW,TOK_LAND,min
7.8,129.6,1922308N08130,4,UNNAMED,10,1922,WP,___________O___,11,-999.9,TS,-999.9,58,-999.9,1922,7.8,129.6,-999.9,1922-11-04 10:00:00,331,-999.9,100,MM,-5,331,6,2,main,,,,None,None,,,,,,,,,,,None,None,,None,,,,,,,,,,,,,,,,,,,,,None,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,0
6,129.8,2013316N06130,11,PODUL,12,2013,WP,OO_____________,11,-999.9,MX,-999.9,91,-999.9,2013,,,-999.9,2013-11-11 12:00:00,287,-999.9,295,MM,-3,381,18,,main,6.5,129.6,15,jtwc_wp,WP322013,1,7.5,126.6,1004,25,5.5,129.9,1000,1000,2,tokyo,DB,35,TD,11.5,114.8,1002,25,1010,35,120,90,45,1006,160,,,,,,,,,,None,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,0,0,,,,,,,0,0
7,134,1970296N07134,23,LOUISE,6,1970,WP,_O_____________,10,-999.9,TS,-999.9,130,-999.9,1970,12.1,114.4,-999.9,1970-10-23 06:00:00,774,-999.9,345,MM,-5,774,10,2,main,11.8,115.5,45,jtwc_wp,WP191970,0,9.8,131.8,1005,19,7,134,1006,1006,2,tokyo,None,,TD,11.5,116,1002,30,,,,,,,,11.8,115.5,11.8,115.5,45,990,180,45,50,TC,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,0,0,,,,,,,0,0
6.5,118.1,2012317N07118,12,UNNAMED,0,2012,WP,__O____________,11,-999.9,DS,-999.9,84,-999.9,2012,,,-999.9,2012-11-12 00:00:00,15,-999.9,295,MM,-5,45,12,,main,6.8,117.9,15,jtwc_wp,WP252012,0,6.5,118.1,1008,19,,,,,,None,DB,,TD,8.1,109.7,1002,30,1010,,,,45,1010,175,,,,,,,,,,None,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,0
5,127,1892342N05127,6,UNNAMED,16,1892,WP,___________O___,12,-999.9,NR,-999.9,61,-999.9,1892,5,127,-999.9,1892-12-06 16:00:00,0,-999.9,290,MM,-5,170,92,7,main,,,,None,None,,,,,,,,,,,None,None,,None,,,,,,,,,,,,,,,,,,,,,None,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,0
5.8,127.2,2021296N06127,22,UNNAMED,12,2021,WP,O______________,10,-999.9,DS,-999.9,92,-999.9,2021,,,-999.9,2021-10-22 12:00:00,11,-999.9,280,MM,-3,124,31,,main,5.8,127.2,10,jtwc_wp,WP262021,1,10.6,116.8,1005,25,,,,,,None,DB,,TD,10.6,116.9,1004,25,1010,,,,30,1012,160,,,,,,,,,,None,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,0
7.1,123.6,2017321N07124,16,KIROGI,12,2017,WP,_O_____________,11,-999.9,TS,-999.9,99,-999.9,2017,,,-999.9,2017-11-16 12:00:00,0,-999.9,310,MM,-5,35,14,,main,8.3,121.3,20,jtwc_wp,WP312017,1,7.3,122.5,1006,25,7.1,123.6,1006,1006,2,tokyo,DB,35,TD,10.2,116.6,1000,25,1006,35,60,60,55,1008,170,,,,,,,,,,None,50,75,90,55,TD,8.7,121.7,1006,29,70,49,180,,,,,,,,,,,,,,,,,None,,,,,,0,0,,,,,,,0,0
6.1,149.8,2006329N06150,24,DURIAN,12,2006,WP,O______________,11,-999.9,DS,-999.9,94,-999.9,2006,,,-999.9,2006-11-24 12:00:00,950,-999.9,280,MM,-3,956,10,,main,6.1,149.8,15,jtwc_wp,WP242006,1,9.6,147.2,1000,29,9.6,147.2,1004,1004,2,tokyo,DB,35,TD,8.9,145.6,1005,25,1006,35,80,80,40,1008,150,,,,,,,,,,None,40,30,30,30,None,,,,,,,,40,40,10,20,20,20,20,20,20,20,20,150,,,,,None,,,,,,0,0,,,,,,,0,0
8,119,1981311N08119,7,UNNAMED,0,1981,WP,__O____________,11,-999.9,DS,-999.9,96,-999.9,1981,,,-999.9,1981-11-07 00:00:00,102,-999.9,300,MM,-5,149,9,,main,,,,None,None,0,8,119,1008,19,,,,,,None,None,,TD,9.8,110.2,1002,25,,,,,,,,,,,,,,,,,None,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,0
7.5,122,1932121N08122,30,UNNAMED,10,1932,WP,___________O___,4,-999.9,TS,-999.9,22,-999.9,1932,7.5,122,-999.9,1932-04-30 10:00:00,11,-999.9,275,MM,-5,11,13,2,main,,,,None,None,,,,,,,,,,,None,None,,None,,,,,,,,,,,,,,,,,,,,,None,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,0
8.2,121.9,2008320N08122,14,NOUL,18,2008,WP,OOO____________,11,-999.9,MX,-999.9,91,-999.9,2008,,,-999.9,2008-11-14 18:00:00,39,-999.9,275,MM,-3,39,15,,main,7.7,122.2,20,jtwc_wp,WP262008,1,8.4,121.7,1004,25,8.4,121.9,1004,1004,2,tokyo,DB,35,TD,9.9,115.8,1002,25,1007,35,70,70,40,1008,150,,,,,,,,,,None,45,40,30,35,None,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,0,0,,,,,,,0,0
6,129.9,1983276N06130,3,HERBERT,0,1983,WP,___________O___,10,-999.9,DS,-999.9,67,-999.9,1983,6,129.9,-999.9,1983-10-03 00:00:00,343,-999.9,265,MM,-5,392,11,0,main,10.8,115.6,25,jtwc_wp,WP131983,0,10.1,117,1006,19,11,114.5,1006,1006,2,tokyo,None,35,TD,11.5,113,998,30,,35,60,60,,,,,,,,,,,,25,None,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,0,0,,,,,,,0,0
10.6,118.4,1933286N11118,13,UNNAMED,10,1933,WP,___________O___,10,-999.9,NR,-999.9,66,-999.9,1933,10.6,118.4,-999.9,1933-10-13 10:00:00,70,-999.9,275,MM,-5,70,9,7,main,,,,None,None,,,,,,,,,,,None,None,,None,,,,,,,,,,,,,,,,,,,,,None,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,0
