Province,Direct_Landfall_Count,Avg_Wind_at_Landfall_kph,Crossed_Count,Avg_Days_Between_Landfalls
tỉnh Quảng Ninh,20,71.8,24,557.8
tỉnh Quảng Trị,14,76.9,20,757.4
tỉnh Khánh Hòa,13,73.7,14,711.0
thành phố Đà Nẵng,12,86.5,17,899.5
tỉnh Hà Tĩnh,12,75.6,17,831.8
tỉnh Thanh Hóa,9,62.0,20,1148.0
tỉnh Quảng Ngãi,8,89.3,14,1358.5
tỉnh Nghệ An,7,86.1,18,1398.0
tỉnh Ninh BÌnh,7,77.6,16,1519.2
tỉnh Đắk Lắk,7,108.9,16,1832.8
tỉnh Hưng Yên,6,71.2,14,1301.9
tỉnh Gia Lai,6,72.1,14,2049.7
thành phố Hải Phòng,5,94.5,11,1291.4
tỉnh Lạng Sơn,4,65.4,18,3269.3
thành phố Hồ Chí Minh,4,46.8,5,1077.1
tỉnh Tuyên Quang,3,38.8,19,1982.7
tỉnh Lâm Đồng,3,27.6,10,1831.1
thành phố Huế,3,60.0,6,2539.0
tỉnh Cao Bằng,3,79.7,6,2382.2
tỉnh Vĩnh Long,2,75.4,2,3670.7
tỉnh Cà Mau,1,101.9,3,
tỉnh Tây Ninh,0,0.0,3,
tỉnh Điện Biên,0,0.0,6,
tỉnh Đồng Nai,0,0.0,7,
tỉnh An Giang,0,0.0,2,
tỉnh Lai Châu,0,0.0,6,
tỉnh Sơn La,0,0.0,7,
tỉnh Lào Cai,0,0.0,11,
Thủ đô Hà Nội,0,0.0,10,
tỉnh Bắc Ninh,0,0.0,15,
thành phố Cần Thơ,0,0.0,3,
tỉnh Thái Nguyên,0,0.0,17,
tỉnh Phú Thọ,0,0.0,16,
tỉnh Đồng Tháp,0,0.0,1,
