SID,NAME,calc_landfall_time,landfall_lat,landfall_lon,wind_at_landfall_kph,province_landfall,provinces_crossed,time_from_last_landfall_days,time_on_land_h,avg_wind_on_land_kph
1884208N13127,UNNAMED,1884-07-31 07:54:01.332093481,17.2701,106.8499,0.0,tỉnh Quảng Trị,tỉnh Quảng Trị,0.0,2.8,0.0
1887198N15119,UNNAMED,1887-07-22 21:49:25.682318014,20.3,106.6117,0.0,tỉnh Hưng Yên,"tỉnh Hưng Yên, tỉnh Ninh BÌnh, tỉnh Thanh Hóa",0.0,13.2,0.0
1887247N12116,UNNAMED,1887-09-08 09:52:06.815159274,19.6914,105.8483,0.0,tỉnh Thanh Hóa,tỉnh Thanh Hóa,47.5,1.1,0.0
1887262N15125,UNNAMED,1887-09-22 08:12:31.964789044,20.7623,106.7771,0.0,tỉnh Hưng Yên,"tỉnh Hưng Yên, thành phố Hải Phòng, tỉnh Bắc Ninh, Thủ đô Hà Nội",13.93,2.8,0.0
1887274N12119,UNNAMED,1887-10-03 23:30:42.999609319,13.8257,109.2977,0.0,tỉnh Gia Lai,"tỉnh Gia Lai, tỉnh Quảng Ngãi",11.64,9.2,0.0
1888253N11118,UNNAMED,1888-09-11 12:20:04.579694188,12.8617,109.4535,0.0,tỉnh Đắk Lắk,"tỉnh Đắk Lắk, tỉnh Gia Lai",0.0,9.9,0.0
1888268N14134,UNNAMED,1888-09-30 05:09:33.720156428,17.3129,106.7958,0.0,tỉnh Quảng Trị,tỉnh Quảng Trị,18.7,1.8,0.0
1889302N13130,UNNAMED,1889-11-01 09:21:43.944458364,14.7789,109.0276,0.0,tỉnh Quảng Ngãi,tỉnh Quảng Ngãi,0.0,1.6,0.0
1890271N15125,UNNAMED,1890-10-08 06:01:23.730492802,15.1326,108.8977,0.0,tỉnh Quảng Ngãi,tỉnh Quảng Ngãi,0.0,5.0,0.0
1890314N09133,UNNAMED,1890-11-16 04:29:36.549053188,14.4837,109.1013,0.0,tỉnh Gia Lai,"tỉnh Gia Lai, tỉnh Quảng Ngãi",38.94,6.5,0.0
1891316N12127,UNNAMED,1891-11-16 03:10:01.113026289,14.1281,109.2221,0.0,tỉnh Gia Lai,tỉnh Gia Lai,0.0,6.9,0.0
1892206N20113,UNNAMED,1892-07-26 09:56:27.247737001,20.8,106.9079,0.0,thành phố Hải Phòng,thành phố Hải Phòng,0.0,0.9,0.0
1892342N05127,UNNAMED,1892-12-08 03:42:04.757332582,13.4567,109.3159,0.0,tỉnh Đắk Lắk,"tỉnh Đắk Lắk, tỉnh Gia Lai",134.74,4.5,0.0
